ajñānād atha vā jñānād | HV_App.I,31.2596a
ajñānād etha vā jñānād | *HV_62.10ab*721A:14a
ajñānād vaktum evaṃ cet | HV_App.I,31.1434a
ajñānām agraṇīḥ sa tvaṃ | *HV_81.79*919:4a
ajñānāvṛtacittāś ca | HV_App.I,31.406a
ajñāsiṣam ariṃdama | HV_App.I,29.282b
ajhillikaṇṭakavanaṃ | HV_52.22a
añjanaṃ rocanaṃ cāpi | HV_App.I,29A.112a
añjanāśokavarṇābhā | HV_App.I,42A.128a
añjanena ca dharmajñe | HV_App.I,29A.365a
añjanena parikṣiptaṃ | *HV_50.6ab*632a
añjaliṃ kurusattama | HV_App.I,31.1132b
añjaliṃ cakrire viṣṇau | HV_App.I,31.1134a
añjaliṃ saṃpuṭaṃ kṛtvā | HV_App.I,31.1130a
aṭadhvaṃ pṭhivīṃ kṛtsnāṃ | HV_46.26a
aṭṭam annam iti proktaṃ | *HV_116.12*1568:1a
aṭṭaśūlā janapadāḥ | HV_116.12a
aṇimādiś ca te siddhir | HV_App.I,7.36a
aṇutāṃ tanutāṃ caiva | HV_App.I,41.1109a
aṇudharmaratir nityam | HV_18.4c
aṇur vāmananāmāsi | HV_App.I,31.1204a
aṇuhas tu nṛpaśreṣṭho | HV_18.21a
aṇuhaḥ kasya vai putraḥ | HV_15.5a
aṇuhāt pārthivaśreṣṭhāt | HV_15.4c
aṇuho 'dhyagamat padam | HV_18.4d
aṇuho nāma tasyāsīt | HV_18.4a
aṇuho nāma pārthivaḥ | HV_15.23b
aṇuḥ sarvatrago bhūtvā | HV_App.I,31.1168a
aṇor aṇīyāṃsam atipramāṇaṃ | HV_App.I,31.712
aṇgulyaḥ sāgarāḥ smṛtāḥ | HV_App.I,13.38b
aṇḍajān udbhidāṃs tathā | HV_App.I,41.1107b
ata ūrdhvaṃ cyute dharme | HV_117.3a
ata ūrdhvaṃ pravakṣyāmi | HV_App.I,6B.124a
ata ūrdhvaṃ pravakṣyāmi | *HV_23.99*378:11a
atarpayata tac chotraṃ | HV_118.2c
ataś ca balavān kālaḥ | HV_115.26c
ataś cintya vadhaṃ kuru | *HV_108.92*1251:2b
atasīpuṣpasaṃkāśaṃ | *HV_62.10ab*721A:22a
atasīpuṣpasaṃkāśaḥ | **HV_App.I,18.775**81:2
atas te tritvam āpannā | HV_App.I,41.1174a
atas te vartayiṣye 'ham | HV_15.66a
